Word,Loglikelihood
0,2.332639121
0,0.423096617
1,0.710778689
1,1.40392587
110,1.116243797
1,-0.675515672
1,1.627069421
10,0.710778689
2,0.710778689
69,0.710778689
7,-2.380263764
007s,-0.675515672
007â,-0.675515672
00s,-1.368662853
1,-2.284953585
10,2.529937132
10606,-0.675515672
010br,-0.675515672
010makes,0.710778689
110,0.710778689
12310,-0.675515672
126,-0.675515672
2,0.017631508
02br,0.710778689
3,-0.675515672
310,0.710778689
3-Oct-09,0.710778689
4,-0.3878336
4082007,-0.675515672
41,1.40392587
5,1.963541658
50,1.40392587
510,1.627069421
53105,-0.675515672
6,0.017631508
06br,-0.675515672
06th,-0.675515672
7,0.017631508
75,-0.675515672
815,1.116243797
89,-0.675515672
9,-1.08098078
09br,0.710778689
0br,0.710778689
0clock,-0.675515672
0ttbr,-0.675515672
0when,-0.675515672
1,0.806698811
10,0.025245758
100,-0.127876075
1000,-0.080808564
10000,0.017631508
100000,0.423096617
1000000,-0.675515672
10000000,1.809390978
100000000,0.710778689
1E+15,0.710778689
1E+27,-0.675515672
1000lb,0.710778689
1000pm,1.116243797
100100,-0.675515672
100b,0.710778689
100br,0.017631508
100ibs,0.710778689
100k,-0.675515672
100m,-0.675515672
100miles,-0.675515672
100minute,-0.675515672
100mph,0.710778689
100plus,0.710778689
100square,-0.675515672
100th,-0.675515672
101,0.682607812
1010,-2.882790585
1010br,-2.380263764
1010negative,0.710778689
1011,-0.675515672
1012,1.116243797
1013,0.710778689
1014,0.017631508
1015,0.305313581
101503,0.710778689
101br,0.710778689
101minute,0.017631508
101st,-1.08098078
101year,-0.675515672
102,-0.493194115
1020,0.93392224
10282007,-0.675515672
103,-0.675515672
1030,-0.675515672
103104,-0.675515672
1035,-0.675515672
104,-0.675515672
1040,-0.675515672
1040a,-0.675515672
1040s,-0.675515672
105,0.710778689
105lbs,0.710778689
106,0.710778689
107,0.577247296
1072000,-0.675515672
108,-0.493194115
1080,0.017631508
10852,0.710778689
109,-1.08098078
1095,-0.675515672
1099,-0.675515672
10am,1.116243797
10br,-0.223530548
10but,1.627069421
10check,-0.675515672
10day,1.116243797
10did,-0.675515672
10dirbrad,1.40392587
10diremmanuel,1.116243797
10direwald,1.116243797
10dirgeorge,0.710778689
10dirjesus,-0.675515672
10dirmichael,0.710778689
10dirmick,0.710778689
10dirstefan,0.710778689
10dirsydney,0.710778689
10hour,-0.675515672
10i,-0.675515672
10ish,1.627069421
10just,0.710778689
10master,-0.675515672
10minute,1.963541658
10movie,1.116243797
10of10,-0.675515672
10one,1.627069421
10page,0.710778689
10pm,-0.675515672
10second,-0.675515672
10star,1.116243797
10th,-0.23368292
